"rank","word","reading","alternative_spellings"
649,"事実","じじつ",""
650,"静か","しずか",""
651,"すむ","すむ","済む"
652,"行動","こうどう",""
653,"突然","とつぜん",""
654,"友達","ともだち",""
655,"喜ぶ","よろこぶ",""
656,"止まる","とまる",""
657,"命","いのち",""
658,"自身","じしん",""
659,"想像","そうぞう",""
660,"面白い","おもしろい",""
661,"父","ちち",""
662,"身","み",""
663,"渡す","わたす",""
664,"名","な",""
665,"ようやく","ようやく","漸く"
666,"全員","ぜんいん",""
667,"頃","ころ",""
668,"そもそも","そもそも","抑; 抑々; 抑も"
669,"空気","くうき",""
670,"再び","ふたたび",""
671,"着る","きる",""
672,"母","はは",""
673,"首","くび",""
674,"美しい","うつくしい",""
675,"一体","いったい",""
676,"店","みせ",""
677,"程度","ていど",""
678,"届く","とどく",""
679,"さて","さて","偖; 扠; 扨"
680,"難しい","むずかしい",""
681,"向こう","むこう",""
682,"神","かみ",""
683,"気分","きぶん",""
684,"耳","みみ",""
685,"ごめんなさい","ごめんなさい","ご免なさい; 御免なさい"
686,"通り","とおり",""
687,"ひどい","ひどい","酷い; 非道い"
688,"むしろ","むしろ","寧; 寧ろ"
689,"飛ぶ","とぶ",""
690,"眠る","ねむる",""
691,"仲間","なかま",""
692,"でない","でない","で無い"
693,"さすがに","さすがに","流石に"
694,"山","やま",""
695,"感情","かんじょう",""
696,"ぐらい","ぐらい",""
697,"結構","けっこう",""
698,"すら","すら",""
699,"危険","きけん",""
700,"以前","いぜん",""
701,"いる","いる","要る"
702,"あれ","あれ",""
703,"もう一度","もういちど",""
704,"ありがとうございます","ありがとうございます","有り難うございます; 有り難う御座います; 有難うございます; 有難う御座います"
705,"どうぞ","どうぞ",""
706,"済む","すむ",""
707,"とりあえず","とりあえず","取りあえず; 取り敢えず; 取敢えず"
708,"任せる","まかせる",""
709,"遅い","おそい",""
710,"気にする","きにする",""
711,"いくら","いくら","幾ら"
712,"本気","ほんき",""
713,"あら","あら",""
714,"正直","しょうじき",""
715,"動かす","うごかす",""
716,"事件","じけん",""
717,"切る","きる","きる"
718,"そういえば","そういえば","そう言えば"
719,"おりる","おりる","下りる; 降りる"
720,"起こす","おこす",""
721,"周囲","しゅうい",""
722,"海","うみ",""
723,"すでに","すでに","已に; 既に"
724,"叫ぶ","さけぶ",""
725,"引く","ひく",""
726,"返事","へんじ",""
727,"逆","ぎゃく",""
728,"捨てる","すてる",""
729,"甘い","あまい",""
730,"窓","まど",""
731,"遊ぶ","あそぶ",""
732,"結婚","けっこん",""
733,"おお","おお",""
734,"会話","かいわ",""
735,"戻ってくる","もどってくる",""
736,"どうしたの","どうしたの",""
737,"邪魔","じゃま",""
738,"腰","こし",""
739,"その時","そのとき",""
740,"うまい","うまい","上手い; 巧い; 旨い; 甘い; 美い; 美味い"
741,"握る","にぎる",""
742,"確か","たしか",""
743,"いっぱい","いっぱい","一ぱい; 一杯; 一盃; １ぱい; １杯"
744,"部分","ぶぶん",""
745,"無事","ぶじ",""
746,"せっかく","せっかく","折角"
747,"風","かぜ",""
748,"起こる","おこる",""
749,"であろう","であろう",""
750,"熱い","あつい",""
751,"意外","いがい",""
752,"これ以上","これいじょう",""
753,"間違いない","まちがいない",""
754,"流れる","ながれる",""
755,"花","はな",""
756,"涙","なみだ",""
757,"やってくる","やってくる","やって来る; 遣って来る"
758,"倒れる","たおれる",""
759,"人生","じんせい",""
760,"一人で","ひとりで",""
761,"もう少し","もうすこし",""
762,"襲う","おそう",""
763,"所","ところ",""
764,"料理","りょうり",""
765,"決して","けっして",""
766,"愛する","あいする",""
767,"黒い","くろい",""
768,"冷たい","つめたい",""
769,"合わせる","あわせる",""
770,"楽しむ","たのしむ",""
771,"自然","しぜん",""
772,"納得","なっとく",""
773,"周り","まわり",""
774,"どうも","どうも",""
775,"珍しい","めずらしい",""
776,"いいから","いいから",""
777,"どうしても","どうしても","如何しても"
778,"疲れる","つかれる",""
779,"必死","ひっし",""
780,"前に","まえに",""
781,"内","ない",""
782,"追う","おう",""
783,"激しい","はげしい",""
784,"場","ば",""
785,"食う","くう",""
786,"慣れる","なれる",""
787,"勢い","いきおい",""
788,"答え","こたえ",""
789,"落とす","おとす",""
790,"同時に","どうじに",""
791,"判断","はんだん",""
792,"横","よこ",""
793,"町","まち",""
794,"報告","ほうこく",""
795,"食事","しょくじ",""
796,"緊張","きんちょう",""
797,"金","かね",""
798,"受け取る","うけとる",""
799,"まずは","まずは","先ずは"
800,"感謝","かんしゃ",""
801,"ある","ある","或; 或る"
802,"者","しゃ",""
803,"日本","にほん",""
804,"つい","つい",""
805,"並ぶ","ならぶ",""
806,"避ける","さける",""
807,"連絡","れんらく",""
808,"奪う","うばう",""
809,"過ごす","すごす",""
810,"狙う","ねらう",""
811,"向く","むく",""
812,"諦める","あきらめる",""
813,"足りる","たりる",""
814,"いろいろ","いろいろ","色々; 色色"
815,"そうする","そうする",""
816,"話をする","はなしをする",""
817,"望む","のぞむ",""
818,"一応","いちおう",""
819,"特別","とくべつ",""
820,"救う","すくう",""
821,"帰ってくる","かえってくる",""
822,"時代","じだい",""
823,"いらっしゃる","いらっしゃる",""
824,"いつか","いつか","何時か"
825,"終わり","おわり",""
826,"語る","かたる",""
827,"繰り返す","くりかえす",""
828,"助かる","たすかる",""
829,"点","てん",""
830,"ところで","ところで","所で"
831,"運ぶ","はこぶ",""
832,"素直","すなお",""
833,"よし","よし",""
834,"態度","たいど",""
835,"失敗","しっぱい",""
836,"とこ","とこ",""
837,"全く","まったく",""
838,"木","き",""
839,"それぞれ","それぞれ","其々; 夫れ夫れ; 夫夫"
840,"内容","ないよう",""
841,"と言われる","といわれる",""
842,"示す","しめす",""
843,"妙","みょう",""
844,"あんまり","あんまり",""
845,"冗談","じょうだん",""
846,"自ら","みずから",""
847,"低い","ひくい",""
848,"わざわざ","わざわざ","態々"
849,"そっち","そっち","其方"
850,"雰囲気","ふんいき",""
851,"はっきり","はっきり",""
852,"移動","いどう",""
853,"過去","かこ",""
854,"手伝う","てつだう",""
855,"描く","えがく",""
856,"余裕","よゆう",""
857,"なんとか","なんとか","何とか"
858,"出会う","であう",""
859,"と言う","という",""
860,"見せる","みせる","みせる"
861,"やっと","やっと","漸と"
862,"嫌い","きらい",""
863,"質問","しつもん",""
864,"人々","ひとびと",""
865,"どれ","どれ","何れ"
866,"現実","げんじつ",""
867,"感覚","かんかく",""
868,"正しい","ただしい",""
869,"未来","みらい",""
870,"興味","きょうみ",""
871,"遠い","とおい",""
872,"ながらも","ながらも","乍らも"
873,"本人","ほんにん",""
874,"能力","のうりょく",""
875,"あの人","あのひと",""
876,"っぽい","っぽい",""
877,"それでは","それでは","其れでは"
878,"と言った","といった",""
879,"その場","そのば",""
880,"事情","じじょう",""
881,"暗い","くらい",""
882,"あそこ","あそこ","彼処; 彼所"
883,"んで","んで",""
884,"休む","やすむ",""
885,"一緒","いっしょ",""
886,"おかげで","おかげで","お蔭で; お陰で; 御蔭で; 御陰で"
887,"なさる","なさる","為さる"
888,"息","いき",""
889,"これまで","これまで","これ迄; 是迄; 此れまで"
890,"予定","よてい",""
891,"伝わる","つたわる",""
892,"距離","きょり",""
893,"どうせ","どうせ",""
894,"多く","おおく",""
895,"残念","ざんねん",""
896,"ま","ま",""
897,"終える","おえる",""
898,"覚悟","かくご",""
899,"勉強","べんきょう",""
900,"さすが","さすが","有繋; 流石; 遉"
901,"上","じょう",""
902,"分","ふん",""
903,"風","ふう",""
904,"よし","よし","好し; 良し"
905,"だけに","だけに","丈に"
906,"自信","じしん",""
907,"我慢","がまん",""
908,"相談","そうだん",""
909,"死","し",""
910,"増える","ふえる",""
911,"離す","はなす",""
912,"半分","はんぶん",""
913,"人物","じんぶつ",""
914,"回る","まわる",""
915,"親","おや",""
916,"弱い","よわい",""
917,"っけ","っけ",""
918,"立てる","たてる",""
919,"この人","このひと",""
920,"と言った","といった","といった"
921,"降りる","おりる",""
922,"打つ","うつ",""
923,"席","せき",""
924,"経験","けいけん",""
925,"よろしく","よろしく","宜しく; 宜敷く"
926,"すっかり","すっかり",""
927,"現在","げんざい",""
928,"広がる","ひろがる",""
